"","Fraud","Amount","card_freq_1","card_freq_3","card_freq_7","card_freq_14","card_freq_30","merchant_freq_1","merchant_freq_3","merchant_freq_7","merchant_freq_14","merchant_freq_30","merchant_card_1","merchant_card_3","merchant_card_7","merchant_card_14","merchant_card_30","card_merchant_1","card_merchant_3","card_merchant_7","card_merchant_14","card_merchant_30","Avg_Amount_Card_1","Avg_Amount_Card_3","Avg_Amount_Card_7","Avg_Amount_Card_14","Avg_Amount_Card_30","Total_Amount_Card_1","Total_Amount_Card_3","Total_Amount_Card_7","Total_Amount_Card_14","Total_Amount_Card_30","Median_Amount_Card_1","Median_Amount_Card_3","Median_Amount_Card_7","Median_Amount_Card_14","Median_Amount_Card_30","Max_Amount_Card_1","Max_Amount_Card_3","Max_Amount_Card_7","Max_Amount_Card_14","Max_Amount_Card_30","Avg_Amount_Merch_1","Avg_Amount_Merch_3","Avg_Amount_Merch_7","Avg_Amount_Merch_14","Avg_Amount_Merch_30","Total_Amount_Merch_1","Total_Amount_Merch_3","Total_Amount_Merch_7","Total_Amount_Merch_14","Total_Amount_Merch_30","Median_Amount_Merch_1","Median_Amount_Merch_3","Median_Amount_Merch_7","Median_Amount_Merch_14","Median_Amount_Merch_30","Max_Amount_Merch_1","Max_Amount_Merch_3","Max_Amount_Merch_7","Max_Amount_Merch_14","Max_Amount_Merch_30","zip_card_1","zip_card_3","zip_card_7","zip_card_14","zip_card_30","zip_merchant_1","zip_merchant_3","zip_merchant_7","zip_merchant_14","zip_merchant_30"
"48936","No",495,2,2,2,2,3,2,2,2,4,5,1,1,1,1,2,1,1,1,3,4,1,1,1,1,1.253164557,0.5,0.5,0.5,0.5,0.417721519,1,1,1,1,1,1,1,1,1,1,495,1,1,1.171597633,1.213235294,0.5,0.5,0.5,0.292899408,0.242647059,1,1,1,1.171597633,1.414285714,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"7164","No",20.15,11,11,11,14,18,21,21,21,21,22,2,2,2,3,4,6,6,6,6,7,0.665615616,0.665615616,0.665615616,0.081540747,0.039819424,0.060510511,0.060510511,0.060510511,0.005824339,0.00221219,1,1,1,1,1,0.153231939,0.153231939,0.153231939,0.008726722,0.008726722,23.28809524,0.865248952,0.865248952,0.865248952,0.8810669,0.041202331,0.041202331,0.041202331,0.041202331,0.040048495,1,1,1,1,1,0.482866044,0.482866044,0.482866044,0.482866044,0.482866044,2,2,2,3,4,1,1,1,1,1
"53214","No",3.24,40,41,44,48,68,40,44,54,75,125,1,2,5,6,9,1,2,5,17,24,0.052154806,0.046530363,0.036176681,0.018142304,0.017202716,0.00130387,0.001134887,0.000822197,0.000377965,0.000252981,0.065813528,0.065375303,0.063386481,0.060363298,0.045990064,0.015637066,0.008756757,0.005503185,0.001324579,0.001324579,62.12275,0.055777048,0.052281957,0.025696937,0.026210623,0.00130387,0.00126766,0.000968184,0.000342626,0.000209685,0.065813528,0.07012987,0.07012987,0.068181818,0.082317073,0.015637066,0.015637066,0.015637066,0.001872367,0.001872367,2,3,6,7,10,2,2,2,2,2
"68116","No",385.18,2,3,6,10,20,1,1,1,1,1,2,3,5,9,13,1,1,1,1,1,1.640774424,0.467922786,0.555454611,0.479039086,0.659265237,0.820387212,0.155974262,0.092575769,0.047903909,0.032963262,1.640774424,1,1.036307626,0.63952581,1.553145161,1,0.19259,0.19259,0.19259,0.173015074,385.18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,9,13,1,1,1,1,1
"64534","No",188.5,1,2,3,3,8,1,1,2,2,4,1,2,2,2,5,1,1,1,1,1,1,1.692936369,1.982888601,1.982888601,2.267157784,1,0.846468184,0.660962867,0.660962867,0.283394723,1,1.692936369,3.016,3.016,3.004941814,1,1,1,1,1,188.5,1,1.501992032,1.501992032,1.857142857,1,1,0.750996016,0.750996016,0.464285714,1,1,1.501992032,1.501992032,2.432258065,1,1,1,1,1,1,2,2,2,5,1,1,1,1,1
"44441","No",1214,2,2,3,4,7,1,1,1,1,1,2,2,3,4,6,1,1,1,1,1,1.729036852,1.729036852,1.768004078,2.265654525,1.922202594,0.864518426,0.864518426,0.589334693,0.566413631,0.274600371,1.729036852,1.729036852,1.851456459,2.87014599,2.555789474,1,1,1,1,0.674444444,1214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,1,1,1,1,1
"32706","No",155,1,2,2,2,5,1,1,1,1,2,1,2,2,2,4,1,1,1,1,1,1,0.280542986,0.280542986,0.280542986,0.176384906,1,0.140271493,0.140271493,0.140271493,0.035276981,1,0.280542986,0.280542986,0.280542986,0.2042699,1,0.163157895,0.163157895,0.163157895,0.0625,155,1,1,1,1.512195122,1,1,1,1,0.756097561,1,1,1,1,1.512195122,1,1,1,1,1,1,2,2,2,4,1,1,1,1,1
"41476","No",25.5,2,9,11,13,23,83,182,306,600,1436,1,1,3,5,10,28,46,59,81,102,1.663405088,3.831385643,2.022933795,0.142458101,0.174557728,0.831702544,0.425709516,0.183903072,0.010958315,0.007589466,1.663405088,6.623376623,4.941860465,4.941860465,1.228915663,1,1,0.5,0.011764217,0.011764217,10.40566265,2.394662704,2.483948086,3.046607115,2.407013983,0.029525166,0.013157487,0.008117477,0.005077679,0.001676194,5.835240275,6.710526316,6.818181818,6.948228883,6.948228883,0.596491228,0.183850036,0.09837963,0.09837963,0.021175884,1,1,3,5,10,1,1,1,1,1
"73095","No",737.89,1,1,1,1,2,1,1,2,3,4,1,1,1,1,2,1,1,2,3,3,1,1,1,1,1.918042162,1,1,1,1,0.959021081,1,1,1,1,1.918042162,1,1,1,1,1,737.89,1,1.44275533,1.542154322,1.739875738,1,1,0.721377665,0.514051441,0.434968935,1,1,1.44275533,1.788607442,2.11566196,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"48986","No",24.95,3,11,14,22,54,1,1,1,1,1,3,11,14,22,46,1,1,1,1,1,0.02862081,0.050274776,0.055217527,0.05224922,0.070812693,0.00954027,0.004570434,0.003944109,0.002374965,0.001311346,0.052263349,0.065331239,0.069219032,0.079642487,0.144637681,0.011808471,0.011808471,0.011808471,0.011018615,0.011018615,24.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,11,13,21,39,1,1,1,1,1
"1564","No",206.04,2,2,3,4,4,2,2,6,7,7,2,2,3,3,3,2,2,6,7,7,1.93437544,1.93437544,1.051170859,0.855798885,0.855798885,0.96718772,0.96718772,0.350390286,0.213949721,0.213949721,1.93437544,1.93437544,1,0.70921107,0.70921107,1,1,0.54944,0.54944,0.54944,207.98,0.99067218,1.074860452,1.19301206,1.19301206,0.49533609,0.49533609,0.179143409,0.170430294,0.170430294,0.99067218,0.99067218,0.99067218,1,1,0.981516768,0.981516768,0.526902619,0.526902619,0.526902619,1,1,2,3,3,1,1,1,1,1
"1875","No",146.25,3,3,7,7,7,1,1,1,1,1,3,3,7,7,7,1,1,1,1,1,1.231648093,1.231648093,0.374451353,0.374451353,0.374451353,0.410549364,0.410549364,0.05349305,0.05349305,0.05349305,1.325208409,1.325208409,1.325208409,1.325208409,1.325208409,1,1,0.070926285,0.070926285,0.070926285,146.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,7,7,7,1,1,1,1,1
"9733","No",112.92,3,5,8,10,15,16,47,68,117,265,2,4,7,8,9,15,41,59,89,168,2.347283814,1.240524685,1.797123361,1.854948665,2.003975296,0.782427938,0.248104937,0.22464042,0.185494867,0.133598353,7.192356688,5.943157895,5.850777202,5.592867756,5.395126613,1,0.38696412,0.38696412,0.38696412,0.38696412,171.521875,0.303227712,0.326113879,0.293144661,0.349294811,0.041146355,0.006451653,0.004795792,0.00250551,0.001318094,0.878173971,0.753553554,0.753553554,0.579076923,0.916781684,0.156981594,0.066683989,0.066683989,0.045121074,0.045121074,2,4,5,6,7,11,22,36,54,104
"75453","No",345,1,1,1,2,2,2,3,3,6,14,1,1,1,2,2,2,3,3,4,10,1,1,1,1.725215652,1.725215652,1,1,1,0.862607826,0.862607826,1,1,1,1.725215652,1.725215652,1,1,1,1,1,345,0.953917051,0.953917051,0.744604317,0.701015965,0.5,0.31797235,0.31797235,0.124100719,0.050072569,1,1,1,0.896103896,0.696969697,1,0.873417722,0.873417722,0.463087248,0.463087248,1,1,1,2,2,1,1,1,1,1
"42647","No",422.12,1,1,1,3,6,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1.809887236,0.67054086,1,1,1,0.603295745,0.11175681,1,1,1,2.358212291,1.053403873,1,1,1,1,0.188446429,422.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1
"77248","No",254.99,2,2,3,15,28,1,5,9,19,38,2,2,3,8,18,1,4,7,11,17,1.518746836,1.518746836,1.329319153,0.371345381,0.419173538,0.759373418,0.759373418,0.443106384,0.024756359,0.014970484,1.518746836,1.518746836,1.063921225,0.852837888,0.847199149,1,1,1,0.108392456,0.108392456,254.99,0.419555681,0.504229542,0.509086152,0.466596137,1,0.083911136,0.056025505,0.026794008,0.012278846,1,0.88865268,0.88865268,0.856994018,0.822601458,1,0.159372734,0.159372734,0.110207328,0.104819847,2,2,3,8,16,1,1,1,1,1
"54958","No",561.36,3,3,6,18,29,1,1,1,2,2,3,3,6,13,23,1,1,1,1,1,2.59141059,2.59141059,0.898398803,0.776521634,1.00080719,0.86380353,0.86380353,0.149733134,0.043140091,0.034510593,8.965979875,8.965979875,1.737418756,1.320847059,1.453359223,1,1,0.228846311,0.228846311,0.228846311,561.36,1,1,0.483862209,0.483862209,1,1,1,0.241931105,0.241931105,1,1,1,0.483862209,0.483862209,1,1,1,0.319141316,0.319141316,3,3,6,12,20,1,1,1,1,1
"77701","No",273.32,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1.769977982,1.769977982,1,1,1,0.884988991,0.884988991,1,1,1,1.769977982,1.769977982,1,1,1,1,1,273.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
"74938","No",2450,3,5,10,20,44,1,1,1,1,1,3,4,8,14,19,1,1,1,1,1,1.653625151,1.854436569,2.147996051,2.768216133,3.126664122,0.551208384,0.370887314,0.214799605,0.138410807,0.071060548,1.366424986,1.366424986,2.37449118,6.047217663,7.124267582,1,1,1,1,1,2450,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,8,14,19,1,1,1,1,1
"2432","No",42.98,2,5,5,6,6,1,1,1,1,1,2,5,5,6,6,1,1,1,1,1,0.672192681,0.694211138,0.694211138,0.142904642,0.142904642,0.33609634,0.138842228,0.138842228,0.02381744,0.02381744,0.672192681,0.844566713,0.844566713,0.633036306,0.633036306,0.506242638,0.410114504,0.410114504,0.028749164,0.028749164,42.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,5,1,1,1,1,1
"58820","No",989.99,1,1,3,6,14,1,1,1,1,1,1,1,3,5,9,1,1,1,1,1,1,1,1.518335233,2.203879461,2.605633565,1,1,0.506111744,0.367313243,0.186116683,1,1,1.280612113,3.267671183,3.726951022,1,1,1,1,1,989.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,9,1,1,1,1,1
"81686","No",149,1,1,3,12,16,1,1,2,9,10,1,1,3,7,9,1,1,2,6,7,1,1,1.150579151,0.322531766,0.341437216,1,1,0.383526384,0.026877647,0.021339826,1,1,1.144920854,0.430698078,0.4462013,1,1,1,0.114624202,0.114624202,149,1,1.460784314,0.546858115,0.58449939,1,1,0.730392157,0.060762013,0.058449939,1,1,1.460784314,0.922829184,0.922829184,1,1,1,0.133360781,0.133360781,1,1,3,7,8,1,1,1,1,1
"51309","No",61.7,2,2,4,7,12,1,1,1,1,1,2,2,4,7,10,1,1,1,1,1,0.051746551,0.051746551,0.083495724,0.071613331,0.091591155,0.025873275,0.025873275,0.020873931,0.010230476,0.007632596,0.051746551,0.051746551,0.21605911,0.128485454,0.124395161,0.026560482,0.026560482,0.026560482,0.02468,0.02468,61.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,7,10,1,1,1,1,1
"37590","No",32.74,1,2,2,2,6,3,10,21,43,99,1,2,2,2,2,3,10,18,30,57,1,0.741394928,0.741394928,0.741394928,0.946744421,1,0.370697464,0.370697464,0.370697464,0.157790737,1,0.741394928,0.741394928,0.741394928,1.063850528,1,0.589060813,0.589060813,0.589060813,0.589060813,440.7133333,0.112724356,0.138323277,0.113151892,0.089486053,0.024762884,0.011272436,0.006586823,0.002631439,0.0009039,0.058331997,0.136436564,0.221710571,0.183499608,0.218092193,0.044964498,0.044964498,0.035093361,0.02450232,0.009761479,1,2,2,2,2,1,1,1,1,1
"34934","No",15.41,1,4,6,14,21,1,3,4,9,9,1,2,3,5,9,1,1,1,1,1,1,0.925942617,0.541461701,0.242734504,0.1166755,1,0.231485654,0.090243617,0.017338179,0.005555976,1,0.868903299,0.868903299,0.849035813,0.757620452,1,0.757620452,0.171222222,0.041203209,0.014157097,15.41,0.828346175,0.880571429,0.904401695,0.904401695,1,0.276115392,0.220142857,0.100489077,0.100489077,1,0.768195414,0.868903299,0.849035813,0.849035813,1,0.757620452,0.757620452,0.757620452,0.757620452,1,2,3,5,9,1,1,1,2,2
"75854","No",7.2,8,12,15,27,45,3,4,8,16,33,6,7,7,10,16,2,3,7,14,24,0.026646312,0.02140219,0.02561682,0.024729489,0.028391491,0.003330789,0.001783516,0.001707788,0.000915907,0.000630922,0.387722132,0.067095331,0.067214339,0.069950452,0.144288577,0.004363636,0.004363636,0.004363636,0.004130809,0.004063205,32.92666667,0.279503106,0.178129639,0.078370546,0.089645831,0.072889249,0.069875776,0.022266205,0.004898159,0.00271654,0.491803279,0.659340659,0.317040951,0.163673562,0.302902819,0.093579413,0.093579413,0.061047991,0.014631173,0.014631173,6,7,7,10,16,1,1,2,2,2
"45034","No",2110.42,1,1,2,6,11,1,3,5,9,14,1,1,2,5,9,1,3,4,7,11,1,1,1.946163777,3.846054782,5.089083994,1,1,0.973081889,0.64100913,0.462643999,1,1,1.946163777,11.45815349,13.54569961,1,1,1,1,1,2110.42,2.714832126,3.303436142,3.838856697,5.120895996,1,0.904944042,0.660687228,0.426539633,0.365778285,1,11.60464093,11.60464093,11.60464093,12.60253195,1,1,1,1,1,1,1,2,5,9,1,1,1,1,1
"6692","No",216,1,2,2,3,4,1,1,1,1,1,1,2,2,3,4,1,1,1,1,1,1,1.367088608,1.367088608,1.787980796,1.984291029,1,0.683544304,0.683544304,0.595993599,0.496072757,1,1.367088608,1.367088608,2.16,2.497109827,1,1,1,1,1,216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,1,1,1,1,1
"79473","No",358.99,1,1,2,2,3,2,2,3,3,8,1,1,2,2,3,2,2,3,3,5,1,1,1.584560041,1.584560041,0.746284067,1,1,0.79228002,0.79228002,0.248761356,1,1,1.584560041,1.584560041,1,1,1,1,1,0.362616162,1067.495,0.336291973,0.481870084,0.481870084,0.87534518,0.168145987,0.168145987,0.160623361,0.160623361,0.109418147,0.336291973,0.336291973,1,1,1.275433891,0.202134009,0.202134009,0.202134009,0.202134009,0.202134009,1,1,2,2,3,1,1,1,1,1
"81498","No",19.95,2,2,4,4,9,2,2,2,2,2,1,1,3,3,8,1,1,1,1,1,1,1,0.070688281,0.070688281,0.081167951,0.5,0.5,0.01767207,0.01767207,0.009018661,1,1,0.324522163,0.324522163,0.19368932,1,1,0.020233266,0.020233266,0.020233266,19.95,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,8,1,1,1,1,1
"77517","No",366.55,1,1,1,1,5,5,7,10,21,37,1,1,1,1,5,5,6,7,8,13,1,1,1,1,1.896373325,1,1,1,1,0.379274665,1,1,1,1,2.460067114,1,1,1,1,1,159.276,2.267894076,1.953120837,1.912420529,1.810812254,0.460270223,0.323984868,0.195312084,0.091067644,0.048940872,2.791485797,2.791485797,3.128761043,4.097361949,4.168656886,1,1,0.564791988,0.441116299,0.441116299,1,1,1,1,5,1,1,1,1,1
"75187","No",358.43,3,6,7,19,29,14,33,54,99,187,3,6,7,10,16,11,26,41,69,117,1.529464476,0.977691906,1.134133718,1.078020797,1.125223947,0.509821492,0.162948651,0.162019103,0.056737937,0.038800826,1.051484393,1.130908058,1.22331058,1.22331058,1.677885966,1,0.383922451,0.383922451,0.332612609,0.288937614,256.345,0.749171542,0.681098782,0.812962144,0.803564815,0.099873775,0.022702168,0.01261294,0.008211739,0.004297138,3.454746988,1.531752137,1.528616513,2.013651685,1.838102564,0.241855601,0.155215569,0.115622581,0.115622581,0.09846978,3,6,7,10,16,7,16,22,33,49
"79605","No",300,1,1,1,1,1,10,40,60,98,216,1,1,1,1,1,10,29,45,75,146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,272.065,0.903875139,0.779832154,0.696450589,0.627830688,0.110267767,0.022596878,0.012997203,0.007106639,0.002906624,1.142857143,1.205497067,1.047632351,1.047632351,1.279426817,0.431654676,0.230382896,0.128402671,0.128002731,0.082417582,1,1,1,1,1,4,17,26,39,62
"5436","No",151.9,6,11,17,22,48,1,1,1,1,1,6,9,14,18,26,1,1,1,1,1,0.554568466,0.510519594,0.682220473,0.561680099,0.549913605,0.092428078,0.046410872,0.040130616,0.025530914,0.011456533,0.756851021,1,1.350702472,1.37254902,2.790996785,0.217,0.124427625,0.124427625,0.085337079,0.078527265,151.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,12,16,22,1,1,1,1,1
"64017","No",209.45,3,3,4,6,12,3,4,4,9,20,1,1,2,4,9,1,2,2,6,15,1.216082833,1.216082833,0.880319428,0.808718483,0.90178139,0.405360944,0.405360944,0.220079857,0.134786414,0.075148449,1,1,0.880597015,0.811444289,0.911762145,0.786666667,0.786666667,0.481494253,0.481494253,0.419571314,172.2333333,0.901538793,0.901538793,0.435012877,0.430271649,0.405360944,0.225384698,0.225384698,0.048334764,0.021513582,1,0.880597015,0.880597015,0.766710594,0.717724664,0.786666667,0.507634513,0.507634513,0.166372764,0.166372764,1,1,2,4,8,1,1,1,1,1
"70831","No",3.74,2,5,5,10,30,65,142,218,481,1657,1,4,4,5,9,22,44,59,82,104,0.99204244,0.021456273,0.021456273,0.033907832,0.016868477,0.49602122,0.004291255,0.004291255,0.003390783,0.000562283,0.99204244,0.0935,0.0935,0.717850288,0.53466762,0.984210526,0.007110266,0.007110266,0.007110266,0.001731481,5.672461538,0.607983881,0.571745137,0.482953768,0.554028503,0.010143473,0.004281577,0.002622684,0.001004062,0.000334356,1,1.019073569,1,1.019073569,1.019073569,0.095872853,0.081570338,0.058897638,0.027291302,0.027291302,1,4,4,5,9,1,1,1,1,1
"68628","No",882.65,1,2,2,4,8,7,25,34,60,120,1,2,2,4,8,6,15,21,31,56,1,1.742817652,1.742817652,2.256118602,1.823953794,1,0.871408826,0.871408826,0.56402965,0.227994224,1,1.742817652,1.742817652,3.198007246,2.61945038,1,1,1,1,0.633218787,437.8371429,1.433945111,1.395349378,1.471562,1.533649413,0.287990316,0.057357804,0.041039688,0.024526033,0.012780412,1.957182137,2.001746269,2.528286214,2.930298956,3.326612143,1,0.353067061,0.353067061,0.353067061,0.353067061,1,2,2,4,8,1,1,1,1,1
"6901","No",107.48,2,2,7,8,13,7,7,17,21,60,1,1,5,5,10,3,3,8,9,24,0.799107807,0.799107807,0.344776072,0.388403545,0.420184645,0.399553903,0.399553903,0.049253725,0.048550443,0.032321896,0.799107807,0.799107807,0.66542843,0.699944645,0.66542843,0.66542843,0.66542843,0.121686952,0.121686952,0.121686952,275.15,0.390623296,0.326793855,0.260899116,0.299333685,0.055803328,0.055803328,0.019223168,0.012423767,0.004988895,0.668740667,0.668740667,0.722311828,0.66542843,0.549207971,0.149337928,0.149337928,0.083743689,0.083743689,0.077493781,1,1,5,5,10,1,1,1,1,1
"54456","No",262.92,2,2,2,4,8,1,1,1,1,1,2,2,2,4,5,1,1,1,1,1,1.473560319,1.473560319,1.473560319,2.327086053,0.822701582,0.73678016,0.73678016,0.73678016,0.581771513,0.102837698,1.473560319,1.473560319,1.473560319,3.436638128,1.689282961,1,1,1,1,0.170419632,262.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,1,1,1,1,1
"10682","No",199,2,2,2,7,20,1,1,1,1,1,2,2,2,3,12,1,1,1,1,1,0.223595506,0.223595506,0.223595506,0.394617564,0.318286944,0.111797753,0.111797753,0.111797753,0.056373938,0.015914347,0.223595506,0.223595506,0.223595506,0.568571429,0.568571429,0.125869703,0.125869703,0.125869703,0.125869703,0.080306699,199,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,12,1,1,1,1,1
"48699","No",263.57,2,5,10,24,36,2,2,2,2,2,2,5,9,19,29,2,2,2,2,2,0.400510572,0.113688811,0.171021307,0.231951528,0.206118616,0.200255286,0.022737762,0.017102131,0.009664647,0.005725517,0.400510572,0.250399012,0.307266347,0.549923323,0.693888297,0.250399012,0.045280173,0.045280173,0.045280173,0.033592742,245.975,1.07153166,1.07153166,1.07153166,1.07153166,0.53576583,0.53576583,0.53576583,0.53576583,0.53576583,1.07153166,1.07153166,1.07153166,1.07153166,1.07153166,1,1,1,1,1,2,5,9,15,20,1,1,1,1,1
"68994","No",1144.99,2,2,2,4,14,4,8,15,35,70,1,1,1,2,7,3,7,13,26,47,0.95080674,0.95080674,0.95080674,0.939598472,2.23649268,0.47540337,0.47540337,0.47540337,0.234899618,0.159749477,0.95080674,0.95080674,0.95080674,0.95080674,7.575440802,0.906226503,0.906226503,0.906226503,0.472355611,0.472355611,1000.015,0.952655916,1.263952353,1.095724954,1.448157409,0.286243206,0.119081989,0.08426349,0.031306427,0.020687963,0.95080674,0.95080674,1.335997573,1.911598244,2.445880418,0.839681725,0.494837653,0.494837653,0.15317592,0.15317592,1,1,1,2,7,1,1,1,1,1
"15906","No",138.07,1,1,6,6,27,1,1,1,1,1,1,1,2,2,10,1,1,1,1,1,1,1,0.285037934,0.285037934,0.314820742,1,1,0.047506322,0.047506322,0.011660027,1,1,0.371900715,0.371900715,0.55228,1,1,0.117678644,0.117678644,0.092046667,138.07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,10,1,1,1,1,1
"81632","No",159,1,1,4,5,6,4,4,16,31,67,1,1,1,2,3,4,4,11,20,33,1,1,0.384057971,0.238780328,0.278388962,1,1,0.096014493,0.047756066,0.04639816,1,1,0.489984592,0.345652174,0.489984592,1,1,0.1875,0.095014999,0.095014999,692.1725,0.229711524,0.344955233,0.420221799,0.328985869,0.057427881,0.057427881,0.021559702,0.013555542,0.004910237,0.420657178,0.420657178,0.521482453,0.530176726,0.513068732,0.085773009,0.085773009,0.085773009,0.085773009,0.07425049,1,1,1,2,2,1,1,1,1,1
"51375","No",1155,1,1,4,9,22,1,1,1,4,9,1,1,4,8,16,1,1,1,4,9,1,1,1.332202979,0.881894814,1.391806363,1,1,0.333050745,0.097988313,0.063263926,1,1,1.404255319,1,2.942675159,1,1,0.685280995,0.462,0.462,1155,1,1,1.441722578,0.670213198,1,1,1,0.360430644,0.074468133,1,1,1,1.44149766,1.276243094,1,1,1,0.828253854,0.126492308,1,1,4,8,16,1,1,1,1,1
"71211","No",13.06,3,7,11,23,41,2,3,4,8,34,2,5,8,12,16,1,2,3,7,20,0.3664422,0.080315569,0.036533605,0.021425092,0.022335151,0.1221474,0.011473653,0.003321237,0.000931526,0.00054476,0.449415003,0.341437908,0.187913669,0.055367136,0.045204389,0.20154321,0.017655568,0.010724257,0.00576346,0.00576346,21.06,0.039094383,0.049323036,0.063623908,0.056565893,0.310066477,0.013031461,0.012330759,0.007952988,0.001663703,0.620132953,0.449415003,0.303685618,0.228801682,0.096747907,0.449415003,0.013603175,0.013603175,0.013603175,0.010499574,2,5,8,12,16,1,1,1,1,1
"75096","No",3.97,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0.006273754,1,1,1,1,0.001568438,1,1,1,1,0.009629495,1,1,1,1,0.002331646,3.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
"62298","No",21.46,1,3,16,23,34,7,12,29,57,108,1,3,7,12,18,6,9,15,24,36,1,0.161836052,0.090975089,0.103428188,0.097314398,1,0.053945351,0.005685943,0.004496878,0.002862188,1,0.513642891,0.086141495,0.090073452,0.110339863,1,0.064142033,0.043761088,0.043761088,0.023296966,268.1685714,0.078183253,0.057613192,0.060972017,0.057529313,0.011432042,0.006515271,0.001986662,0.001069685,0.000532679,0.1552822,0.150596491,0.105714286,0.117408907,0.120833333,0.019615371,0.019615371,0.010154975,0.010154975,0.008748471,1,2,5,9,14,1,1,1,1,1
"61312","No",3.67,146,174,193,198,234,200,373,540,806,1439,2,2,2,2,3,15,38,54,71,97,0.971040232,0.898383534,0.881903979,0.869137752,0.789327108,0.00665096,0.005163124,0.004569451,0.004389585,0.003373193,1.013812155,1.013812155,1.013812155,1.013812155,1.013812155,0.367,0.282307692,0.229375,0.229375,0.035980392,4.3384,0.63547866,0.497228836,0.475637033,0.354395918,0.00422967,0.001703696,0.000920794,0.00059012,0.000246279,1.013812155,1.013812155,1,1,1,0.163256228,0.02780303,0.009140722,0.009140722,0.002466398,1,1,1,1,2,1,1,1,1,1
"70271","No",600,2,3,3,3,7,1,1,1,3,9,2,3,3,3,7,1,1,1,3,9,1.048501953,1.487001132,1.487001132,1.487001132,2.098971504,0.524250976,0.495667044,0.495667044,0.495667044,0.299853072,1.048501953,1.101948612,1.101948612,1.101948612,5.000416701,1,1,1,1,1,600,1,1,1.352691857,0.876441259,1,1,1,0.450897286,0.097382362,1,1,1,1,1,1,1,1,0.99886795,0.246663871,2,3,3,3,7,1,1,1,1,1
"14872","No",50,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.176470588,1,1,1,1,0.588235294,1,1,1,1,1.176470588,1,1,1,1,1,50,1,1,1,1.176470588,1,1,1,1,0.588235294,1,1,1,1,1.176470588,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62558","No",3.62,103,105,295,302,339,120,122,588,873,1417,1,2,2,2,3,15,16,53,72,98,0.882300047,0.857819905,0.873337804,0.857073419,0.801507423,0.00856602,0.008169713,0.002960467,0.002837991,0.002364329,1,1,1,1,1,0.315881326,0.301666667,0.278461538,0.22625,0.035490196,5.670666667,0.616652006,0.54086139,0.480684463,0.379337069,0.005319774,0.005054525,0.000919832,0.000550612,0.000267704,1,1,0.986376022,0.986376022,0.986376022,0.106942393,0.106942393,0.009016189,0.009016189,0.002432796,1,1,1,1,2,1,1,1,1,1
"20258","No",3.62,60,60,66,71,76,109,162,408,555,996,2,2,4,6,7,24,42,60,70,81,0.077794254,0.077794254,0.060748602,0.064035837,0.066101882,0.001296571,0.001296571,0.000920433,0.000901913,0.000869762,0.986376022,0.986376022,0.986376022,0.986376022,0.986376022,0.002500328,0.002500328,0.002500328,0.002500328,0.002500328,10.29605505,0.354655136,0.41926455,0.449805221,0.496351209,0.003225605,0.002189229,0.001027609,0.00081046,0.000498345,0.986376022,0.986376022,0.986376022,0.986376022,0.986376022,0.026099495,0.019977925,0.019977925,0.015083333,0.015083333,2,2,4,6,7,1,1,1,1,1
